dataset,participant,fname
fixation_HighFreq,s1,s1_10kbase.mat
fixation_HighFreq,s2,s2_10kbase.mat
fixation_HighFreq,s3,s3_10kbase.mat
fixation_HighFreq,s4,s4_10kbase.mat
fixation_PAC,bp,._bp_base.mat
fixation_PAC,cc,._cc_base.mat
fixation_PAC,hl,._hl_base.mat
fixation_PAC,jc,._jc_base.mat
fixation_PAC,jm,._jm_base.mat
fixation_PAC,jp,._jp_base.mat
fixation_PAC,ug,._ug_base.mat
fixation_PAC,wc,._wc_base.mat
fixation_PAC,wm,._wm_base.mat
fixation_PAC,zt,._zt_base.mat
fixation_pwrlaw,al,al_base.mat
fixation_pwrlaw,ca,ca_base.mat
fixation_pwrlaw,cc,cc_base.mat
fixation_pwrlaw,de,de_base.mat
fixation_pwrlaw,fp,fp_base.mat
fixation_pwrlaw,gc,gc_base.mat
fixation_pwrlaw,gf,gf_base.mat
fixation_pwrlaw,gw,gw_base.mat
fixation_pwrlaw,h0,h0_base.mat
fixation_pwrlaw,hh,hh_base.mat
fixation_pwrlaw,jc,jc_base.mat
fixation_pwrlaw,jm,jm_base.mat
fixation_pwrlaw,jp,jp_base.mat
fixation_pwrlaw,mv,mv_base.mat
fixation_pwrlaw,rh,rh_base.mat
fixation_pwrlaw,rr,rr_base.mat
fixation_pwrlaw,ug,ug_base.mat
fixation_pwrlaw,wc,wc_base.mat
fixation_pwrlaw,wm,wm_base.mat
fixation_pwrlaw,zt,zt_base.mat
motor_basic,bp,bp_mot_t_h.mat
motor_basic,ca,ca_mot_t_h.mat
motor_basic,cc,cc_mot_t_h.mat
motor_basic,de,de_mot_t_h.mat
motor_basic,fp,fp_mot_t_h.mat
motor_basic,gc,gc_mot_t_h.mat
motor_basic,gf,gf_mot_t_h.mat
motor_basic,hh,hh_mot_t_h.mat
motor_basic,hl,hl_mot_t_h.mat
motor_basic,jc,jc_mot_t_h.mat
motor_basic,jf,jf_mot_t_h.mat
motor_basic,jm,jm_mot_t_h.mat
motor_basic,jp,jp_mot_t_h.mat
motor_basic,jt,jt_mot_t_h.mat
motor_basic,rh,rh_mot_t_h.mat
motor_basic,rr,rr_mot_t_h.mat
motor_basic,ug,ug_mot_t_h.mat
motor_basic,wc,wc_mot_t_h.mat
motor_basic,zt,zt_mot_t_h.mat
fingerflex,bp,bp_fingerflex.mat
fingerflex,bp,bp_stim.mat
fingerflex,cc,cc_fingerflex.mat
fingerflex,cc,cc_stim.mat
fingerflex,ht,ht_fingerflex.mat
fingerflex,ht,ht_stim.mat
fingerflex,jc,jc_fingerflex.mat
fingerflex,jc,jc_stim.mat
fingerflex,jp,jp_fingerflex.mat
fingerflex,jp,jp_stim.mat
fingerflex,mv,mv_fingerflex.mat
fingerflex,mv,mv_stim.mat
fingerflex,wc,wc_fingerflex.mat
fingerflex,wc,wc_stim.mat
fingerflex,wm,wm_fingerflex.mat
fingerflex,wm,wm_stim.mat
fingerflex,zt,zt_fingerflex.mat
fingerflex,zt,zt_stim.mat
joystick_track,fp,fp_joystick.mat
joystick_track,gf,gf_joystick.mat
joystick_track,rh,rh_joystick.mat
joystick_track,rr,rr_joystick.mat
gestures,bp,bp_base.mat
gestures,bp,bp_fingerflex.mat
gestures,bp,bp_freeform.mat
gestures,bp,bp_pinch.mat
gestures,bp,bp_rh_lh.mat
gestures,ca,ca_base.mat
gestures,ca,ca_fingerflex.mat
gestures,ca,ca_freeform.mat
gestures,ca,ca_mot_TH.mat
gestures,ca,ca_pinch.mat
gestures,cc,cc_base.mat
gestures,cc,cc_pinch.mat
gestures,cc,cc_freeform.mat
gestures,cc,cc_thumbfore.mat
gestures,de,de_base.mat
gestures,de,de_glovefingersgrasp.mat
gestures,de,de_freeform.mat
gestures,wm,wm_base.mat
gestures,wm,wm_fingerflex.mat
gestures,wm,wm_freeform.mat
gestures,wm,wm_pinch.mat
gestures,wm,wm_thumbfore.mat
imagery_basic,bp,bp_im_t_h.mat
imagery_basic,bp,bp_mot_t_h.mat
imagery_basic,fp,fp_im_t_h.mat
imagery_basic,fp,fp_mot_t_h.mat
imagery_basic,hh,hh_im_t_h.mat
imagery_basic,hh,hh_mot_t_h.mat
imagery_basic,jc,jc_im_t_h.mat
imagery_basic,jc,jc_mot_t_h.mat
imagery_basic,jm,jm_im_t_h.mat
imagery_basic,jm,jm_mot_t_h.mat
imagery_basic,rh,rh_im_t_h.mat
imagery_basic,rh,rh_mot_t_h.mat
imagery_basic,rr,rr_im_t_h.mat
imagery_basic,rr,rr_mot_t_h.mat
speech_basic,bp,bp_verbs.mat
speech_basic,hl,hl_verbs.mat
speech_basic,in,in_verbs.mat
speech_basic,jc,jc_verbs.mat
speech_basic,jc,jc_nouns.mat
speech_basic,wc,wc_verbs.mat
speech_basic,wc,wc_nouns.mat
speech_basic,ww,ww_verbs.mat
speech_basic,ww,ww_nouns.mat
speech_basic,zt,zt_verbs.mat
speech_basic,zt,zt_nouns.mat
memory_nback,al,al_nback.mat
memory_nback,ca,ca_nback.mat
memory_nback,cc,cc_nback.mat
memory_nback,ug,ug_nback.mat
visual_search,jm,jm_vissearch.mat
visual_search,jt,jt_vissearch.mat
visual_search,rn,rn_vissearch.mat
visual_search,rr,rr_vissearch.mat
visual_search,wc,wc_vissearch.mat
faces_basic,aa,aa_faceshouses.mat
faces_basic,ap,ap_faceshouses.mat
faces_basic,ca,ca_faceshouses.mat
faces_basic,de,de_faceshouses.mat
faces_basic,fp,fp_faceshouses.mat
faces_basic,ha,ha_faceshouses.mat
faces_basic,ja,ja_faceshouses.mat
faces_basic,jm,jm_faceshouses.mat
faces_basic,jt,jt_faceshouses.mat
faces_basic,mv,mv_faceshouses.mat
faces_basic,rn,rn_faceshouses.mat
faces_basic,rr,rr_faceshouses.mat
faces_basic,wc,wc_faceshouses.mat
faces_basic,zt,zt_faceshouses.mat
faces_noise,ap,ap_faceshouses.mat
faces_noise,ap,ap_fhnoisy.mat
faces_noise,ca,ca_faceshouses.mat
faces_noise,ca,ca_fhnoisy.mat
faces_noise,ha,ha_faceshouses.mat
faces_noise,ha,ha_fhnoisy.mat
faces_noise,ja,ja_faceshouses.mat
faces_noise,ja,ja_fhnoisy.mat
faces_noise,mv,mv_faceshouses.mat
faces_noise,mv,mv_fhnoisy.mat
faces_noise,wc,wc_faceshouses.mat
faces_noise,wc,wc_fhnoisy.mat
faces_noise,zt,zt_faceshouses.mat
faces_noise,zt,zt_fhnoisy.mat
mouse_track,fp,fp_mouse.mat
mouse_track,gf,gf_mouse.mat
mouse_track,rh,rh_mouse.mat
mouse_track,rr,rr_mouse.mat
speech_lists,jc,jc_base.mat
speech_lists,jc,jc_nouns_L1_R1.mat
speech_lists,jc,jc_nouns_L1_R2.mat
speech_lists,jc,jc_nouns_L1_R3.mat
speech_lists,jc,jc_nouns_L2_R1.mat
speech_lists,jc,jc_nouns_L2_R2.mat
speech_lists,jc,jc_nouns_L2_R3.mat
speech_lists,jc,jc_verbs_L1_R1.mat
speech_lists,jc,jc_verbs_L1_R2.mat
speech_lists,jc,jc_verbs_L1_R3.mat
speech_lists,jc,jc_verbs_L2_R1.mat
speech_lists,jc,jc_verbs_L2_R2.mat
speech_lists,jc,jc_verbs_L2_R3.mat
speech_lists,wc,wc_base.mat
speech_lists,wc,wc_nouns_L1_R1.mat
speech_lists,wc,wc_nouns_L1_R2.mat
speech_lists,wc,wc_nouns_L1_R3.mat
speech_lists,wc,wc_nouns_L2_R1.mat
speech_lists,wc,wc_nouns_L2_R2.mat
speech_lists,wc,wc_nouns_L2_R3.mat
speech_lists,wc,wc_verbs_L1_R1.mat
speech_lists,wc,wc_verbs_L1_R2.mat
speech_lists,wc,wc_verbs_L1_R3.mat
speech_lists,wc,wc_verbs_L2_R1.mat
speech_lists,wc,wc_verbs_L2_R2.mat
speech_lists,wc,wc_verbs_L2_R3.mat
speech_lists,ww,ww_nouns_L1_R1.mat
speech_lists,ww,ww_nouns_L1_R2.mat
speech_lists,ww,ww_nouns_L1_R3.mat
speech_lists,ww,ww_nouns_L2_R1.mat
speech_lists,ww,ww_nouns_L2_R2.mat
speech_lists,ww,ww_nouns_L2_R3.mat
speech_lists,ww,ww_verbs_L1_R1.mat
speech_lists,ww,ww_verbs_L1_R2.mat
speech_lists,ww,ww_verbs_L1_R3.mat
speech_lists,ww,ww_verbs_L2_R1.mat
speech_lists,ww,ww_verbs_L2_R2.mat
speech_lists,ww,ww_verbs_L2_R3.mat
ctmr,,
dg,,
